Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
121,Deandre Ayton,26,POR,C,40,40,30.2,06.cze,11.lip,0.566,0.2,0.8,0.188,06.maj,10.wrz,0.594,0.573,1.0,01.maj,0.667,03.sty,07.sty,10.lut,01.cze,0.8,1.0,01.lip,02.lut,14.kwi,
122,Gradey Dick,21,TOR,SG,54,54,29.kwi,04.wrz,12.0,0.41,02.sty,6.0,0.35,02.sie,05.wrz,0.47,0.498,02.maj,02.wrz,0.858,0.8,02.sie,03.cze,01.sie,0.9,0.2,01.maj,02.lut,14.kwi,
123,Jerami Grant,30,POR,PF,47,47,32.4,04.cze,12.lut,0.373,02.mar,06.mar,0.365,02.mar,05.wrz,0.381,0.467,3.0,03.maj,0.849,0.6,02.wrz,03.maj,02.sty,0.9,1.0,01.kwi,02.mar,14.kwi,
124,Payton Pritchard,27,BOS,PG,80,3,28.kwi,05.sty,10.sie,0.472,03.lut,07.sie,0.407,01.wrz,3.0,0.642,0.62,0.9,01.sty,0.845,01.mar,02.cze,03.sie,03.maj,0.9,0.2,1.0,01.maj,14.mar,6MOY-1
125,Naz Reid,25,MIN,C,80,17,27.maj,05.mar,11.maj,0.462,02.lut,05.sie,0.379,03.sty,05.sie,0.544,0.556,01.kwi,01.sie,0.776,01.lut,04.wrz,6.0,02.mar,0.7,0.9,01.kwi,02.kwi,14.lut,6MOY-5
126,Dyson Daniels,21,ATL,SG,76,76,33.8,6.0,12.sty,0.493,01.sty,03.sty,0.34,04.wrz,09.sty,0.545,0.536,01.sty,01.sie,0.593,01.cze,04.mar,05.wrz,04.kwi,3.0,0.7,2.0,02.mar,14.sty,"DPOY-2,MIP-1,DEF1"
127,Tre Mann,23,CHO,PG,13,0,24.maj,05.kwi,12.kwi,0.435,01.sie,04.cze,0.4,03.maj,07.sie,0.455,0.509,01.maj,01.cze,0.905,0.9,2.0,02.wrz,3.0,0.5,0.3,01.wrz,01.sie,14.sty,
128,Amen Thompson,22,HOU,SF,69,42,32.2,05.cze,10.sty,0.557,0.4,01.mar,0.275,05.mar,08.sie,0.599,0.575,02.kwi,03.cze,0.684,02.sie,05.kwi,08.lut,03.sie,01.kwi,01.mar,2.0,02.kwi,14.sty,"DPOY-5,DEF1"
129,Fred VanVleet,30,HOU,PG,60,60,35.2,04.sie,12.lip,0.378,02.lip,07.lip,0.345,02.sty,5.0,0.43,0.483,01.wrz,02.mar,0.81,0.5,03.lut,03.lip,05.cze,01.cze,0.4,01.maj,02.mar,14.sty,
130,Dillon Brooks,29,HOU,SF,75,75,31.sie,05.sty,11.wrz,0.429,02.maj,06.mar,0.397,02.cze,05.lip,0.465,0.533,01.mar,01.cze,0.818,1.0,02.lip,03.lip,01.lip,0.8,0.2,1.0,03.lut,14.0,
131,Tolu Smith,24,DET,PF,1,0,22.0,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,3.0,0.667,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,14.0,
132,Klay Thompson,34,DAL,SF,72,72,27.mar,5.0,12.lut,0.412,3.0,07.lip,0.391,2.0,04.maj,0.448,0.535,0.9,1.0,0.905,0.6,02.sie,03.kwi,2.0,0.7,0.4,01.lut,01.sty,14.0,
133,Bobby Portis,29,MIL,PF,49,7,25.kwi,05.lip,12.sty,0.466,01.mar,03.cze,0.365,04.mar,08.maj,0.508,0.52,01.lut,01.maj,0.836,01.sie,06.cze,08.kwi,02.sty,0.7,0.5,01.lut,01.wrz,13.wrz,
134,Tobias Harris,32,DET,PF,73,73,31.6,05.mar,11.0,0.477,01.lut,03.cze,0.345,4.0,07.kwi,0.542,0.534,2.0,02.mar,0.861,0.9,5.0,05.wrz,02.lut,1.0,0.8,01.lut,01.wrz,13.lip,
135,Josh Hart,29,NYK,SG,77,77,37.6,05.lut,10.0,0.525,01.sty,03.mar,0.333,04.lut,06.lip,0.618,0.579,02.sty,02.lip,0.776,02.sty,07.maj,09.cze,05.wrz,01.maj,0.4,02.sty,02.cze,13.cze,
136,Jarrett Allen,26,CLE,C,82,82,28.0,05.maj,07.sie,0.706,0.0,0.1,0.0,05.maj,07.lip,0.712,0.706,02.kwi,03.kwi,0.718,02.cze,07.sty,09.lip,01.wrz,0.9,0.9,01.lut,01.maj,13.maj,
137,Onyeka Okongwu,24,ATL,C,74,40,27.wrz,05.lut,09.lut,0.567,0.6,2.0,0.324,04.cze,07.lut,0.634,0.602,02.lut,02.wrz,0.759,3.0,05.wrz,08.wrz,02.mar,0.9,0.9,01.lut,02.cze,13.kwi,
138,Russell Westbrook,36,DEN,PG,75,36,27.wrz,5.0,11.sty,0.449,01.mar,03.wrz,0.323,03.lip,07.lut,0.517,0.505,02.sty,03.sty,0.661,01.kwi,03.cze,04.wrz,06.sty,01.kwi,0.5,03.lut,02.maj,13.mar,6MOY-7
139,Naji Marshall,27,DAL,SF,69,31,27.sie,05.lut,10.mar,0.508,0.9,03.lut,0.275,04.kwi,07.lut,0.611,0.551,01.wrz,02.mar,0.813,01.sty,03.lip,04.sie,3.0,1.0,0.2,01.cze,01.cze,13.lut,
140,Dennis Schröder,31,3TM,PG,75,49,28.sty,04.maj,11.0,0.406,01.lip,04.wrz,0.342,02.sie,06.sty,0.458,0.483,02.kwi,02.wrz,0.838,0.4,02.mar,02.cze,05.kwi,0.9,0.2,01.wrz,02.kwi,13.sty,
141,Dennis Schröder,31,BRK,PG,23,23,33.6,06.kwi,14.sty,0.452,02.maj,06.maj,0.387,03.wrz,07.cze,0.509,0.542,03.sty,03.maj,0.889,0.2,02.sie,3.0,06.cze,01.sty,0.2,02.cze,02.kwi,18.kwi,
142,Dennis Schröder,31,GSW,SG,24,18,26.lut,03.wrz,10.maj,0.375,01.maj,04.sie,0.322,02.kwi,05.lip,0.419,0.448,01.lut,01.cze,0.744,0.4,01.wrz,02.mar,04.kwi,1.0,0.1,2.0,02.sie,10.cze,
143,Dennis Schröder,31,DET,PG,28,8,25.lut,03.kwi,9.0,0.378,01.sty,03.sie,0.302,02.mar,05.lut,0.434,0.442,02.wrz,03.kwi,0.833,0.5,02.lut,02.cze,05.mar,0.5,0.2,01.mar,2.0,10.sie,
144,Rui Hachimura,26,LAL,PF,59,57,31.lip,5.0,09.sie,0.509,01.lip,04.lut,0.413,03.lut,05.cze,0.581,0.597,01.maj,01.wrz,0.77,01.mar,03.lip,5.0,01.kwi,0.8,0.4,0.8,01.sie,13.sty,
145,Brook Lopez,36,MIL,C,80,80,31.sie,04.wrz,09.lip,0.509,01.lip,04.lip,0.373,03.lut,5.0,0.636,0.599,01.kwi,01.lip,0.826,01.kwi,03.cze,5.0,01.sie,0.6,01.wrz,01.sty,02.sty,13.0,
146,Alex Sarr,19,WAS,C,67,67,27.sty,04.wrz,12.kwi,0.394,01.cze,05.sty,0.308,03.mar,07.mar,0.454,0.457,01.lip,02.maj,0.679,01.wrz,04.cze,06.maj,02.kwi,0.7,01.maj,01.lip,02.lut,13.0,ROY-4
147,Moritz Wagner,27,ORL,C,30,1,18.sie,04.lip,08.mar,0.562,0.9,02.maj,0.36,03.sie,05.sie,0.649,0.616,02.cze,03.lip,0.718,01.mar,03.cze,04.wrz,01.kwi,0.8,0.4,01.cze,01.sie,12.wrz,
148,Malcolm Brogdon,32,WAS,PG,24,13,23.maj,04.mar,10.0,0.433,0.7,02.mar,0.286,03.lip,07.lip,0.478,0.467,03.kwi,03.sie,0.88,0.9,02.wrz,03.sie,04.sty,0.5,0.2,01.cze,01.mar,12.lip,
149,Scoot Henderson,20,POR,PG,66,10,26.lip,04.mar,10.kwi,0.419,01.cze,04.maj,0.354,02.sie,05.wrz,0.469,0.496,02.kwi,03.sty,0.767,0.8,02.lut,3.0,05.sty,1.0,0.2,02.lip,02.lip,12.lip,
150,Keldon Johnson,25,SAS,SF,77,0,23.wrz,04.sie,10.0,0.482,01.sty,03.cze,0.318,03.lip,06.kwi,0.573,0.538,01.wrz,02.maj,0.773,01.maj,03.kwi,04.sie,01.cze,0.6,0.3,1.0,01.maj,12.lip,
151,D'Angelo Russell,28,2TM,PG,58,36,25.maj,04.mar,11.0,0.39,01.wrz,06.lut,0.314,02.mar,04.sie,0.489,0.479,02.sty,02.maj,0.834,0.3,02.kwi,02.sie,05.sty,1.0,0.4,01.wrz,2.0,12.cze,
152,D'Angelo Russell,28,LAL,PG,29,10,26.mar,04.kwi,10.lip,0.415,01.wrz,05.sie,0.333,02.maj,04.wrz,0.51,0.505,01.cze,01.sie,0.849,0.3,02.maj,02.sie,04.lip,0.8,0.1,01.lip,01.sie,12.kwi,
153,D'Angelo Russell,28,BRK,PG,29,26,24.lip,04.sty,11.mar,0.367,2.0,06.cze,0.297,02.lut,04.lip,0.467,0.454,02.cze,03.lut,0.826,0.4,02.kwi,02.sie,05.cze,01.sty,0.7,2.0,02.sty,12.wrz,
